id,readingDate,readingHz,headPSI,tempCelsius
1,12/14/2010 15:01,2912.09,2912.09,15.56079
2,12/14/2010 16:01,2910.649,2910.649,15.55835
3,12/14/2010 17:01,2909.777,2909.777,15.60742
4,12/14/2010 18:01,2909.582,2909.582,17.00049
5,12/14/2010 19:01,2910.141,2910.141,15.73462
6,12/14/2010 20:01,2910.496,2910.496,15.65894
7,12/14/2010 21:01,2910.581,2910.581,15.64404
8,12/14/2010 22:01,2910.7,2910.7,15.63672
9,12/14/2010 23:01,2910.209,2910.209,15.6294
10,12/15/2010 0:01,2910.319,2910.319,15.62696
11,12/15/2010 1:01,2910.26,2910.26,15.62207
12,12/15/2010 2:01,2910.26,2910.26,15.62696
13,12/15/2010 3:01,2910.336,2910.336,15.62451
14,12/15/2010 4:01,2910.344,2910.344,15.62207
15,12/15/2010 5:01,2910.404,2910.404,15.62207
16,12/15/2010 6:01,2910.565,2910.565,15.61963
17,12/15/2010 7:01,2910.607,2910.607,15.61719
18,12/15/2010 8:01,2910.565,2910.565,15.61475
19,12/15/2010 9:01,2910.649,2910.649,15.61231
20,12/15/2010 10:01,2910.547,2910.547,15.60962
21,12/15/2010 11:01,2910.691,2910.691,15.60986
22,12/15/2010 12:01,2910.708,2910.708,15.60986
23,12/15/2010 13:01,2910.844,2910.844,15.60986
24,12/15/2010 14:01,2911.047,2911.047,15.60986
25,12/15/2010 15:01,2911.166,2911.166,15.61231
26,12/15/2010 16:01,2911.191,2911.191,15.60986
27,12/15/2010 18:14,2910.759,2910.759,15.60254
28,12/15/2010 20:35,2910.039,2910.039,15.60011
29,12/15/2010 21:35,2910.251,2910.251,15.60011
30,12/15/2010 22:35,2910.53,2910.53,15.59766
31,12/15/2010 23:35,2910.7,2910.7,15.59766
32,12/16/2010 0:35,2910.785,2910.785,15.59766
33,12/16/2010 1:35,2910.912,2910.912,15.59766
34,12/16/2010 3:35,2911.098,2911.098,15.59033
35,12/16/2010 4:35,2911.268,2911.268,15.59278
36,12/16/2010 5:35,2911.395,2911.395,15.59278
37,12/16/2010 6:35,2911.581,2911.581,15.59033
38,1/5/2011 11:15,2920.177,2920.177,15.25025
39,1/5/2011 11:15,2920.16,2920.16,15.25031
