readingId,readingDate,readingHertz,headPsi,tempCelsius
0,7/7/2010 14:01,2956.778,2956.778,13.44239
1,7/7/2010 15:01,2956.752,2956.752,13.46655
2,7/7/2010 16:01,2956.804,2956.804,13.45923
3,7/7/2010 17:01,2956.857,2956.857,13.45484
4,7/7/2010 18:01,2956.857,2956.857,13.44946
5,7/7/2010 19:01,2956.918,2956.918,13.44727
6,7/7/2010 20:01,2956.918,2956.918,13.44727
7,7/7/2010 21:01,2956.962,2956.962,13.44483
8,7/7/2010 22:01,2956.97,2956.97,13.44946
9,7/7/2010 23:01,2956.962,2956.962,13.44946
10,7/8/2010 0:01,2956.988,2956.988,13.45435
11,7/8/2010 1:01,2956.988,2956.988,13.45435
12,7/8/2010 2:01,2957.005,2957.005,13.45703
13,7/8/2010 3:01,2956.996,2956.996,13.45972
14,7/8/2010 4:01,2957.014,2957.014,13.46655
15,7/8/2010 5:01,2957.04,2957.04,13.46655
16,7/8/2010 6:01,2957.032,2957.032,13.46655
17,7/8/2010 7:01,2957.023,2957.023,13.469
18,7/8/2010 8:01,2957.058,2957.058,13.46411
19,7/8/2010 9:01,2957.058,2957.058,13.46167
20,7/8/2010 10:01,2957.067,2957.067,13.45923
21,7/8/2010 11:01,2957.093,2957.093,13.45972
22,7/8/2010 12:01,2957.093,2957.093,13.45435
23,7/8/2010 13:01,2957.11,2957.11,13.45215
24,7/8/2010 14:01,2957.119,2957.119,13.44946
25,7/8/2010 15:01,2957.136,2957.136,13.45215
26,7/8/2010 16:01,2957.163,2957.163,13.45166
27,7/8/2010 17:01,2957.172,2957.172,13.45435
28,7/8/2010 18:01,2957.198,2957.198,13.45972
29,7/8/2010 19:01,2957.215,2957.215,13.46216
30,7/8/2010 20:01,2957.224,2957.224,13.46485
31,7/8/2010 21:01,2957.224,2957.224,13.45435
32,7/8/2010 22:01,2957.268,2957.268,13.45215
33,7/8/2010 23:01,2957.25,2957.25,13.45239
34,7/9/2010 0:01,2957.268,2957.268,13.45239
35,7/9/2010 1:01,2957.268,2957.268,13.45484
36,7/9/2010 2:01,2957.268,2957.268,13.45215
37,7/9/2010 3:01,2957.276,2957.276,13.45435
38,7/9/2010 4:01,2957.276,2957.276,13.45435
39,7/9/2010 5:01,2957.268,2957.268,13.45703
40,7/9/2010 6:01,2957.294,2957.294,13.45923
41,7/9/2010 7:01,2957.259,2957.259,13.46167
42,7/9/2010 8:01,2957.303,2957.303,13.46216
43,7/9/2010 9:01,2957.303,2957.303,13.46216
44,7/9/2010 10:01,2957.32,2957.32,13.45703
